ranking,player_image,name,position,age,nation_image,nation,team_image,team,value
253,https://img.a.transfermarkt.technology/portrait/small/193116-1551688628.jpg?lm=1,John McGinn,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569,Scotland,https://tmssl.akamaized.net/images/wappen/verysmall/405.png?lm=1469443765,Aston Villa,€28.00m
254,https://img.a.transfermarkt.technology/portrait/small/184892-1568215407.jpg?lm=1,Florian Thauvin,Right Winger,28,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/244.png?lm=1485642163,Olympique Marseille,€28.00m
255,https://img.a.transfermarkt.technology/portrait/small/181579-1463132757.jpg?lm=1,James Ward-Prowse,Central Midfield,26,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/180.png?lm=1444560086,Southampton FC,€28.00m
256,https://img.a.transfermarkt.technology/portrait/small/118534-1469714937.jpg?lm=1,Michael Keane,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/29.png?lm=1445949846,Everton FC,€28.00m
257,https://img.a.transfermarkt.technology/portrait/small/104752-1448465990.jpg?lm=1,Konstantinos Manolas,Centre-Back,29,https://tmssl.akamaized.net/images/flagge/verysmall/56.png?lm=1520611569,Greece,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,SSC Napoli,€28.00m
258,https://img.a.transfermarkt.technology/portrait/small/82009-1614090395.jpg?lm=1,Kevin Volland,Centre-Forward,28,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/162.png?lm=1463176069,AS Monaco,€28.00m
259,https://img.a.transfermarkt.technology/portrait/small/79960-1474296962.jpg?lm=1,Alex Sandro,Left-Back,30,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Brazil,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,Juventus FC,€28.00m
260,https://img.a.transfermarkt.technology/portrait/small/44162-1567161979.png?lm=1,Miralem Pjanić,Central Midfield,31,https://tmssl.akamaized.net/images/flagge/verysmall/24.png?lm=1569523290,Bosnia-Herzegovina,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,FC Barcelona,€28.00m
261,https://img.a.transfermarkt.technology/portrait/small/418659-1513854165.jpg?lm=1,Amine Gouiri,Centre-Forward,21,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,France,https://tmssl.akamaized.net/images/wappen/verysmall/417.png?lm=1408779490,OGC Nice,€27.00m
262,https://img.a.transfermarkt.technology/portrait/small/371371-1594713722.jpg?lm=1,Marash Kumbulla,Centre-Back,21,https://tmssl.akamaized.net/images/flagge/verysmall/3.png?lm=1520611569,Albania,https://tmssl.akamaized.net/images/wappen/verysmall/12.png?lm=1533302889,AS Roma,€27.00m
263,https://img.a.transfermarkt.technology/portrait/small/351749-1543494579.jpg?lm=1,Kalvin Phillips,Defensive Midfield,25,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/399.png?lm=1407654193,Leeds United,€27.00m
264,https://img.a.transfermarkt.technology/portrait/small/253677-1593437372.jpg?lm=1,Tyrone Mings,Centre-Back,28,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,England,https://tmssl.akamaized.net/images/wappen/verysmall/405.png?lm=1469443765,Aston Villa,€27.00m
265,https://img.a.transfermarkt.technology/portrait/small/223967-1532352103.jpg?lm=1,Konrad Laimer,Central Midfield,23,https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569,Austria,https://tmssl.akamaized.net/images/wappen/verysmall/23826.png?lm=1619431624,RB Leipzig,€26.00m
266,https://img.a.transfermarkt.technology/portrait/small/119296-1567162394.jpg?lm=1,Emre Can,Centre-Back,27,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Germany,https://tmssl.akamaized.net/images/wappen/verysmall/16.png?lm=1396275280,Borussia Dortmund,€26.00m
267,https://img.a.transfermarkt.technology/portrait/small/119228-1596182523.jpg?lm=1,Luis Muriel,Centre-Forward,30,https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569,Colombia,https://tmssl.akamaized.net/images/wappen/verysmall/800.png?lm=1438547428,Atalanta BC,€26.00m
